filename,filesize,modified,errors,md5,namespace,id,format,version,mime,basis,warning
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXSOD/c3-p60-stochastic (Kawai).pdf,649140,2015-09-10T10:50:26-04:00,,dd72d350908e88f3efc7a744db52fcca,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,extension match pdf; byte match at [[0 8] [649134 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXSOD/forest fires_SPAIN (Martinez-Lope).pdf,45422,2015-09-10T10:50:26-04:00,,d5522626d52391c8fdc8fb836428b894,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,extension match pdf; byte match at [[0 8] [45416 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/Supporting Materials/SREXSOD/xRobledo_Clot_Hammil_and_Riche_Forest Policy and Economics (Clot).pdf,166440,2015-09-10T10:50:26-04:00,,fd4964aef69e5eaee2d8d70a9877e9d4,pronom,fmt/18,Acrobat PDF 1.4 - Portable Document Format,1.4,application/pdf,extension match pdf; byte match at [[0 8] [166434 5]],
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/XLS/.DS_Store,6148,2015-09-10T10:50:26-04:00,,70b06d36c7fbefabc2b1a4813e7e3a02,pronom,fmt/394,DS_store file (MAC),,,"extension match ds_store; byte match at 3, 7",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/XLS/._.DS_Store,70,2015-09-10T10:50:26-04:00,,f9a6ea9806b2d261e5456381dc68c217,pronom,fmt/503,AppleDouble Resource Fork,2,multipart/appledouble,"byte match at 0, 8",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/XLS/FGD/SREXFGDSPM_comments.xls,572928,2015-09-10T10:50:26-04:00,,457f4041d966be0ec298caa528f77d5a,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,"extension match xls; container name Workbook with byte match at 0, 8 (signature 1/2)",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/XLS/FOD/SREXFODCh0_annotation.xls,2583552,2015-09-10T10:50:26-04:00,,b9761031bbe3b6fd16faf063ee3a5fdb,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,"extension match xls; container name Workbook with byte match at 0, 8 (signature 1/2)",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/XLS/FOD/SREXFODCh1_annotation.xls,4196864,2015-09-10T10:50:26-04:00,,8695ab8d698c576ed179e86770f40357,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,"extension match xls; container name Workbook with byte match at 0, 8 (signature 1/2)",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/XLS/FOD/SREXFODCh2_annotation.xls,772608,2015-09-10T10:50:26-04:00,,92e737028026fdde20df0e273d82d950,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,"extension match xls; container name Workbook with byte match at 0, 8 (signature 1/2)",
IPCC_for_ESPPA_dark_archive/IPCC-Harvard/IPCC-Harvard/Repository/SREX/Reviews/XLS/FOD/SREXFODCh3_annotation.xls,9264128,2015-09-10T10:50:26-04:00,,1c14cc26f308ff8a894c4227fba436e3,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,"extension match xls; container name Workbook with byte match at 0, 8 (signature 1/2)",
